base_url,entity_text,oblast_name,obl_type,oblast_name_proper,rayon_name_proper,embedded_oblast,embedded_rayon
https://www.gov.kz/memleket/entities/abay-makanshy,abay-makanshy,abay,Oblast,область Абай,район Мақаншы,abay,makanshy
https://www.gov.kz/memleket/entities/abay-zhanasemey,abay-zhanasemey,abay,Oblast,область Абай,район Жаңасемей,abay,zhanasemey
https://www.gov.kz/memleket/entities/abay-aksuat,abay-aksuat,abay,Oblast,область Абай,район Аксуат,abay,aksuat
https://www.gov.kz/memleket/entities/abay-urzhar,abay-urzhar,abay,Oblast,область Абай,Урджарский район,abay,urzhar
https://www.gov.kz/memleket/entities/abay-kokpekti,abay-kokpekti,abay,Oblast,область Абай,Кокпектинский район,abay,kokpekti
https://www.gov.kz/memleket/entities/abay-garma,abay-garma,abay,Oblast,область Абай,Жарминский район,abay,garma
https://www.gov.kz/memleket/entities/abay-boroduliha,abay-boroduliha,abay,Oblast,область Абай,Бородулихинский район,abay,boroduliha
https://www.gov.kz/memleket/entities/abay-beskaragay,abay-beskaragay,abay,Oblast,область Абай,Бескарагайский район,abay,beskaragay
https://www.gov.kz/memleket/entities/abay-ayagos,abay-ayagos,abay,Oblast,область Абай,Аягозский район,abay,ayagos
https://www.gov.kz/memleket/entities/abay-audany,abay-audany,abay,Oblast,область Абай,Абайский район,abay,audany
https://www.gov.kz/memleket/entities/abay-kurchatov,abay-kurchatov,abay,Oblast,область Абай,город Курчатов,abay,kurchatov
https://www.gov.kz/memleket/entities/abay-semey,abay-semey,abay,Oblast,область Абай,город Семей,abay,semey
https://www.gov.kz/memleket/entities/aktobe-mugalzhar,aktobe-mugalzhar,aktobe,Oblast,Актюбинская область,Мугалжарский район,aktobe,mugalzhar
https://www.gov.kz/memleket/entities/aktobe-akt,aktobe-akt,aktobe,Oblast,Актюбинская область,город Актобе,aktobe,akt
https://www.gov.kz/memleket/entities/aktobe-shalkar,aktobe-shalkar,aktobe,Oblast,Актюбинская область,Шалкарский район,aktobe,shalkar
https://www.gov.kz/memleket/entities/aktobe-khobda,aktobe-khobda,aktobe,Oblast,Актюбинская область,Кобдинской район,aktobe,khobda
https://www.gov.kz/memleket/entities/aktobe-irgiz,aktobe-irgiz,aktobe,Oblast,Актюбинская область,Иргизcкий район,aktobe,irgiz
https://www.gov.kz/memleket/entities/aktobe-aitekebi,aktobe-aitekebi,aktobe,Oblast,Актюбинская область,Айтекебийский район,aktobe,aitekebi
https://www.gov.kz/memleket/entities/aktobe-alga,aktobe-alga,aktobe,Oblast,Актюбинская область,Алгинский район,aktobe,alga
https://www.gov.kz/memleket/entities/aktobe-uil,aktobe-uil,aktobe,Oblast,Актюбинская область,Уилский район,aktobe,uil
https://www.gov.kz/memleket/entities/aktobe-hromtau,aktobe-hromtau,aktobe,Oblast,Актюбинская область,Хромтауский район,aktobe,hromtau
https://www.gov.kz/memleket/entities/aktobe-temir,aktobe-temir,aktobe,Oblast,Актюбинская область,Темирской район,aktobe,temir
https://www.gov.kz/memleket/entities/aktobe-martuk,aktobe-martuk,aktobe,Oblast,Актюбинская область,Мартукский район,aktobe,martuk
https://www.gov.kz/memleket/entities/aktobe-kargala,aktobe-kargala,aktobe,Oblast,Актюбинская область,Каргалинский район,aktobe,kargala
https://www.gov.kz/memleket/entities/aktobe-baiganin,aktobe-baiganin,aktobe,Oblast,Актюбинская область,Байганинский район,aktobe,baiganin
https://www.gov.kz/memleket/entities/aqmola-kokshetau,aqmola-kokshetau,aqmola,Oblast,Акмолинская область,город Кокшетау,aqmola,kokshetau
https://www.gov.kz/memleket/entities/aqmola-stepnogorsk,aqmola-stepnogorsk,aqmola,Oblast,Акмолинская область,город Степногорск,aqmola,stepnogorsk
https://www.gov.kz/memleket/entities/aqmola-akkol,aqmola-akkol,aqmola,Oblast,Акмолинская область,Аккольский район,aqmola,akkol
https://www.gov.kz/memleket/entities/aqmola-astrahan,aqmola-astrahan,aqmola,Oblast,Акмолинская область,Астраханский район,aqmola,astrahan
https://www.gov.kz/memleket/entities/aqmola-birzhan-sal,aqmola-birzhan-sal,aqmola,Oblast,Акмолинская область,район Биржан сал,aqmola,birzhan-sal
https://www.gov.kz/memleket/entities/aqmola-bulandy,aqmola-bulandy,aqmola,Oblast,Акмолинская область,Буландынский район,aqmola,bulandy
https://www.gov.kz/memleket/entities/aqmola-burabay,aqmola-burabay,aqmola,Oblast,Акмолинская область,Бурабайский район,aqmola,burabay
https://www.gov.kz/memleket/entities/aqmola-egin,aqmola-egin,aqmola,Oblast,Акмолинская область,Егиндыкольский район,aqmola,egin
https://www.gov.kz/memleket/entities/aqmola-esil,aqmola-esil,aqmola,Oblast,Акмолинская область,Есильский район,aqmola,esil
https://www.gov.kz/memleket/entities/aqmola-zhaksy,aqmola-zhaksy,aqmola,Oblast,Акмолинская область,Жаксынский район,aqmola,zhaksy
https://www.gov.kz/memleket/entities/aqmola-zerendy,aqmola-zerendy,aqmola,Oblast,Акмолинская область,Зерендинской район,aqmola,zerendy
https://www.gov.kz/memleket/entities/aqmola-korgaljin,aqmola-korgaljin,aqmola,Oblast,Акмолинская область,Коргалжынский район,aqmola,korgaljin
https://www.gov.kz/memleket/entities/aqmola-sand,aqmola-sand,aqmola,Oblast,Акмолинская область,Сандыктауский район,aqmola,sand
https://www.gov.kz/memleket/entities/aqmola-kosshy,aqmola-kosshy,aqmola,Oblast,Акмолинская область,город Косшы,aqmola,kosshy
https://www.gov.kz/memleket/entities/aqmola-shortandy,aqmola-shortandy,aqmola,Oblast,Акмолинская область,Шортандинский район,aqmola,shortandy
https://www.gov.kz/memleket/entities/aqmola-arshaly,aqmola-arshaly,aqmola,Oblast,Акмолинская область,Аршалынский район,aqmola,arshaly
https://www.gov.kz/memleket/entities/aqmola-selinograd,aqmola-selinograd,aqmola,Oblast,Акмолинская область,Целиноградский район,aqmola,selinograd
https://www.gov.kz/memleket/entities/aqmola-atbasar,aqmola-atbasar,aqmola,Oblast,Акмолинская область,Атбасарский район,aqmola,atbasar
https://www.gov.kz/memleket/entities/aqmola-zharkain,aqmola-zharkain,aqmola,Oblast,Акмолинская область,Жаркаинский район,aqmola,zharkain
https://www.gov.kz/memleket/entities/aqmola-ereymen,aqmola-ereymen,aqmola,Oblast,Акмолинская область,Ерейментауский район,aqmola,ereymen
https://www.gov.kz/memleket/entities/almobl-balkhash,almobl-balkhash,almobl,Oblast,Алматинская область,Балхашский район,almobl,balkhash
https://www.gov.kz/memleket/entities/almobl-enbekshikazah,almobl-enbekshikazah,almobl,Oblast,Алматинская область,Енбекшиказахский район,almobl,enbekshikazah
https://www.gov.kz/memleket/entities/almobl-zhambyl,almobl-zhambyl,almobl,Oblast,Алматинская область,Жамбылский район,almobl,zhambyl
https://www.gov.kz/memleket/entities/almobl-ile,almobl-ile,almobl,Oblast,Алматинская область,Илийский район,almobl,ile
https://www.gov.kz/memleket/entities/almobl-karasay,almobl-karasay,almobl,Oblast,Алматинская область,Карасайский район,almobl,karasay
https://www.gov.kz/memleket/entities/almobl-kegen,almobl-kegen,almobl,Oblast,Алматинская область,Кегенский район,almobl,kegen
https://www.gov.kz/memleket/entities/almobl-raiymbek,almobl-raiymbek,almobl,Oblast,Алматинская область,Райымбекский район,almobl,raiymbek
https://www.gov.kz/memleket/entities/almobl-talgar,almobl-talgar,almobl,Oblast,Алматинская область,Талгарский район,almobl,talgar
https://www.gov.kz/memleket/entities/almobl-uigur,almobl-uigur,almobl,Oblast,Алматинская область,Уйгурский район,almobl,uigur
https://www.gov.kz/memleket/entities/almobl-qonaev,almobl-qonaev,almobl,Oblast,Алматинская область,город Қонаев,almobl,qonaev
https://www.gov.kz/memleket/entities/almobl-alatau,almobl-alatau,almobl,Oblast,Алматинская область,город Алатау,almobl,alatau
https://www.gov.kz/memleket/entities/akimat-atyrau,akimat-atyrau,atyrau,Oblast,Атырауская область,город Атырау,akimat,atyrau
https://www.gov.kz/memleket/entities/atyrau-inder,atyrau-inder,atyrau,Oblast,Атырауская область,Индерский район,atyrau,inder
https://www.gov.kz/memleket/entities/atyrau-zhylyoy,atyrau-zhylyoy,atyrau,Oblast,Атырауская область,Жылыойский район,atyrau,zhylyoy
https://www.gov.kz/memleket/entities/atyrau-isatai,atyrau-isatai,atyrau,Oblast,Атырауская область,Исатайский район,atyrau,isatai
https://www.gov.kz/memleket/entities/atyrau-makat,atyrau-makat,atyrau,Oblast,Атырауская область,Макатский район,atyrau,makat
https://www.gov.kz/memleket/entities/atyrau-mahambet,atyrau-mahambet,atyrau,Oblast,Атырауская область,Махамбетский район,atyrau,mahambet
https://www.gov.kz/memleket/entities/atyrau-kurmangazy,atyrau-kurmangazy,atyrau,Oblast,Атырауская область,Курмангазинский район,atyrau,kurmangazy
https://www.gov.kz/memleket/entities/atyrau-kyzylkogy,atyrau-kyzylkogy,atyrau,Oblast,Атырауская область,Кызылкогинский район,atyrau,kyzylkogy
https://www.gov.kz/memleket/entities/vko-ulken-naryn,vko-ulken-naryn,akimvko,Oblast,Восточно-казахстанская область,район Үлкен Нарын,vko,ulken-naryn
https://www.gov.kz/memleket/entities/vko-samar,vko-samar,akimvko,Oblast,Восточно-казахстанская область,район Самар,vko,samar
https://www.gov.kz/memleket/entities/vko-shemonaiha,vko-shemonaiha,akimvko,Oblast,Восточно-казахстанская область,Шемонаихинский район,vko,shemonaiha
https://www.gov.kz/memleket/entities/vko-ulan,vko-ulan,akimvko,Oblast,Восточно-казахстанская область,Уланский район,vko,ulan
https://www.gov.kz/memleket/entities/vko-tarbagatay,vko-tarbagatay,akimvko,Oblast,Восточно-казахстанская область,Тарбагатайский район,vko,tarbagatay
https://www.gov.kz/memleket/entities/vko-kurchum,vko-kurchum,akimvko,Oblast,Восточно-казахстанская область,Курчумский район,vko,kurchum
https://www.gov.kz/memleket/entities/vko-altai,vko-altai,akimvko,Oblast,Восточно-казахстанская область,район Алтай,vko,altai
https://www.gov.kz/memleket/entities/vko-katon-karagay,vko-katon-karagay,akimvko,Oblast,Восточно-казахстанская область,Катон-карагайский район,vko,katon-karagay
https://www.gov.kz/memleket/entities/vko-zaysan,vko-zaysan,akimvko,Oblast,Восточно-казахстанская область,Зайсанский район,vko,zaysan
https://www.gov.kz/memleket/entities/vko-glubokoe,vko-glubokoe,akimvko,Oblast,Восточно-казахстанская область,Глубоковский район,vko,glubokoe
https://www.gov.kz/memleket/entities/vko-ridder,vko-ridder,akimvko,Oblast,Восточно-казахстанская область,город Риддер,vko,ridder
https://www.gov.kz/memleket/entities/vko-oskemen,vko-oskemen,akimvko,Oblast,Восточно-казахстанская область,город Усть-Каменогорск,vko,oskemen
https://www.gov.kz/memleket/entities/almaty-alatau,almaty-alatau,almaty,GRZ,город Алматы,Алатауский район,almaty,alatau
https://www.gov.kz/memleket/entities/almaty-bostandyk,almaty-bostandyk,almaty,GRZ,город Алматы,Бостандыкский район,almaty,bostandyk
https://www.gov.kz/memleket/entities/almaty-almaly,almaty-almaly,almaty,GRZ,город Алматы,Алмалинский район,almaty,almaly
https://www.gov.kz/memleket/entities/almaty-auezov,almaty-auezov,almaty,GRZ,город Алматы,Ауэзовский район,almaty,auezov
https://www.gov.kz/memleket/entities/almaty-zhetysu,almaty-zhetysu,almaty,GRZ,город Алматы,Жетысуский район,almaty,zhetysu
https://www.gov.kz/memleket/entities/almaty-medeu,almaty-medeu,almaty,GRZ,город Алматы,Медеуский район,almaty,medeu
https://www.gov.kz/memleket/entities/almaty-nauryzbai,almaty-nauryzbai,almaty,GRZ,город Алматы,Наурызбайский район,almaty,nauryzbai
https://www.gov.kz/memleket/entities/almaty-turksib,almaty-turksib,almaty,GRZ,город Алматы,Турксибский район,almaty,turksib
https://www.gov.kz/memleket/entities/astana-esil,astana-esil,astana,GRZ,город Астаны,Есильского района город Астаны,astana,esil
https://www.gov.kz/memleket/entities/astana-baikonyr,astana-baikonyr,astana,GRZ,город Астаны,района «Байқоңыр» город Астаны,astana,baikonyr
https://www.gov.kz/memleket/entities/astana-nura,astana-nura,astana,GRZ,город Астаны,"района ""Нұра"" город Астаны",astana,nura
https://www.gov.kz/memleket/entities/astana-almaty,astana-almaty,astana,GRZ,город Астаны,"район ""Алматы"" г.Астаны",astana,almaty
https://www.gov.kz/memleket/entities/astana-saryarka,astana-saryarka,astana,GRZ,город Астаны,"район ""Сарыарқа""",astana,saryarka
https://www.gov.kz/memleket/entities/shymkent-turan,shymkent-turan,shymkent,GRZ,город Шымкент,района Тұран город Шымкент,shymkent,turan
https://www.gov.kz/memleket/entities/shymkent-karatau,shymkent-karatau,shymkent,GRZ,город Шымкент,Каратауский район,shymkent,karatau
https://www.gov.kz/memleket/entities/shymkent-enbekshilder,shymkent-enbekshilder,shymkent,GRZ,город Шымкент,Енбекшинского района город Шымкента,shymkent,enbekshilder
https://www.gov.kz/memleket/entities/shymkent-al-farabi,shymkent-al-farabi,shymkent,GRZ,город Шымкент,Аль-Фарабийского района город Шымкент,shymkent,al-farabi
https://www.gov.kz/memleket/entities/shymkent-abai,shymkent-abai,shymkent,GRZ,город Шымкент,Абайский район,shymkent,abai
https://www.gov.kz/memleket/entities/zhambyl-bayzak,zhambyl-bayzak,zhambyl,Oblast,Жамбылская область,Байзакский район,zhambyl,bayzak
https://www.gov.kz/memleket/entities/zhambyl-zhambyl,zhambyl-zhambyl,zhambyl,Oblast,Жамбылская область,Жамбылский район,zhambyl,zhambyl
https://www.gov.kz/memleket/entities/zhambyl-zhualy,zhambyl-zhualy,zhambyl,Oblast,Жамбылская область,Жуалынский район,zhambyl,zhualy
https://www.gov.kz/memleket/entities/zhambyl-merke,zhambyl-merke,zhambyl,Oblast,Жамбылская область,Меркенский район,zhambyl,merke
https://www.gov.kz/memleket/entities/zhambyl-korday,zhambyl-korday,zhambyl,Oblast,Жамбылская область,Кордайский район,zhambyl,korday
https://www.gov.kz/memleket/entities/zhambyl-moyynkum,zhambyl-moyynkum,zhambyl,Oblast,Жамбылская область,Мойынкумский район,zhambyl,moyynkum
https://www.gov.kz/memleket/entities/zhambyl-sarysu,zhambyl-sarysu,zhambyl,Oblast,Жамбылская область,Сарысуский район,zhambyl,sarysu
https://www.gov.kz/memleket/entities/zhambyl-talas,zhambyl-talas,zhambyl,Oblast,Жамбылская область,Таласский район,zhambyl,talas
https://www.gov.kz/memleket/entities/zhambyl-ryskulov,zhambyl-ryskulov,zhambyl,Oblast,Жамбылская область,Т.рыскуловский район,zhambyl,ryskulov
https://www.gov.kz/memleket/entities/zhambyl-taraz,zhambyl-taraz,zhambyl,Oblast,Жамбылская область,город Тараз,zhambyl,taraz
https://www.gov.kz/memleket/entities/zhambyl-shu,zhambyl-shu,zhambyl,Oblast,Жамбылская область,Шуский район,zhambyl,shu
https://www.gov.kz/memleket/entities/zhetysu-karatal,zhetysu-karatal,zhetysu-oblysy,Oblast,область Жетісу,Каратальский район,zhetysu,karatal
https://www.gov.kz/memleket/entities/zhetysu-aksu,zhetysu-aksu,zhetysu-oblysy,Oblast,область Жетісу,Аксуский район,zhetysu,aksu
https://www.gov.kz/memleket/entities/zhetysu-alakol,zhetysu-alakol,zhetysu-oblysy,Oblast,область Жетісу,Алакольский район,zhetysu,alakol
https://www.gov.kz/memleket/entities/zhetysu-eskeldy,zhetysu-eskeldy,zhetysu-oblysy,Oblast,область Жетісу,Ескельдинский район,zhetysu,eskeldy
https://www.gov.kz/memleket/entities/zhetysu-kerbulak,zhetysu-kerbulak,zhetysu-oblysy,Oblast,область Жетісу,Кербулакский район,zhetysu,kerbulak
https://www.gov.kz/memleket/entities/zhetysu-koksu,zhetysu-koksu,zhetysu-oblysy,Oblast,область Жетісу,Коксуский район,zhetysu,koksu
https://www.gov.kz/memleket/entities/zhetysu-panfilov,zhetysu-panfilov,zhetysu-oblysy,Oblast,область Жетісу,Панфиловский район,zhetysu,panfilov
https://www.gov.kz/memleket/entities/zhetysu-sarkan,zhetysu-sarkan,zhetysu-oblysy,Oblast,область Жетісу,Сарканский район,zhetysu,sarkan
https://www.gov.kz/memleket/entities/zhetysu-taldykorgan,zhetysu-taldykorgan,zhetysu-oblysy,Oblast,область Жетісу,город Талдыкорган,zhetysu,taldykorgan
https://www.gov.kz/memleket/entities/zhetysu-tekeli,zhetysu-tekeli,zhetysu-oblysy,Oblast,область Жетісу,город Текели,zhetysu,tekeli
https://www.gov.kz/memleket/entities/bko-zhanibek,bko-zhanibek,bko,Oblast,Западно-казахстанская область,Жанибекский район,bko,zhanibek
https://www.gov.kz/memleket/entities/bko-shyngyrlau,bko-shyngyrlau,bko,Oblast,Западно-казахстанская область,Чингирлауский район,bko,shyngyrlau
https://www.gov.kz/memleket/entities/bko-terekty,bko-terekty,bko,Oblast,Западно-казахстанская область,Теректинский район,bko,terekty
https://www.gov.kz/memleket/entities/bko-taskala,bko-taskala,bko,Oblast,Западно-казахстанская область,Таскалинский район,bko,taskala
